IDDor,Dormitory,GenderDor
1,At Home,woman
2,BPN,man/woman
3,DHAVA PLACE ,man/woman
4,I place,man/woman
5,Inroom,woman
6,JK place,man/woman
7,KP Home,woman
8,L20 Residents ,man/woman
9,PBN แมนชั่น,woman
10,PJ Smile Place,woman
11,RS แมนชั่น,man/woman
12,smallville,man/woman
13,Smart place​,woman
14,The loft condo,man/woman
15,The martrix condo,man/woman
16,The trust Condo ,man/woman
17,The ville resident,man/woman
18,เจอาร์,man/woman
19,เดอะพฤกษ์,man/woman
20,เบญจรงค์,man/woman
21,เพชรรัตน์ ,woman
22,เรือนขวัญ,man/woman
23,เรือนปฐมบุรี,man/woman
24,เวศย์วรุตม์เพลส,man/woman
25,โครงการหมู่บ้านพฤกษาพรรณ กระดีเดียว1,man/woman
26,ไดพักทิวาลัย,man/woman
27,กนกวรรณ,woman
28,กัลยาเอ้าท์,man/woman
29,กินนอน,woman
30,คริสตัลวิลล์,man/woman
31,จัทรคาม,man/woman
32,จันทรเขตเเมนชั่น,man/woman
33,จันทร์แก้ว,woman
34,จันทร์พาเลส,man/woman
35,จันทรา,man/woman
36,จิตปราณี,woman
37,ชยาทิพย์ แมนชั่น,man/woman
38,ชยาภรณ์ เเมนชั่น,woman
39,ชุมชนนครปฐม,man/woman
40,ดีไลท์คอนโด,woman
41,ตุงทรัพย์,woman
42,ทอรุ้ง,woman
43,ทับเเก้ว ,man
44,ทิพย์ชยพล,woman
45,ทิวาลัย วิลล่า,man/woman
46,ทิวาวัลย์ วิลล่า,woman
47,นครปฐมคอนโด,woman
48,นภาพรแมนชั่น,man/woman
49,นันทกาเพลส,woman
50,นาราชา เรสซิเดนท์,man/woman
51,นิยมไทยแมนชั่น,woman
52,นิรันดร์ อพาตเม้นต์,man/woman
53,นิรันดร์ อพาร์ทเม้น,man/woman
54,บัญฑิตแก้ว,man
55,บัวแสงจันทร์ อพาร์ตเมนต์,man/woman
56,บ้านเบญจรงค์,man/woman
57,บ้านเรา,man/woman
58,บ้านแก้ว,man/woman
59,บ้านไทย,man/woman
60,บ้านของเราอพาตเม้นท์,man/woman
61,บ้านจันทราเพลส,man/woman
62,บ้านมารวย,woman
63,บ้านศิลป์,man/woman
64,บ้านสวน รีสอร์ท,man/woman
65,บ้านอุยลบลวรรณ,woman
66,บุษราคัม,man/woman
67,ปริญญา อพาทเมนต์,man/woman
68,พงษ์ธาดาเพลส,man/woman
69,ยูนิคอม,man/woman
70,ระพีพรรณ,man/woman
71,ราชมรรคา,woman
72,ริชพาเลช,man/woman
73,ลิ้มฮกไถ่,woman
74,ลีลาเพลส,woman
75,วนิลลาเพลส,man/woman
76,วานิลลา,woman
77,วิจิตตรา,man/woman
78,วิจิตร,woman
79,วินแมนชั่น,man/woman
80,วี.เจ.อพาร์ทเมนต์,man/woman
81,สกายวิว คอนโด,man/woman
82,สตรีบ้านอุบลวรรณ,man/woman
83,สตรีวันดี,woman
84,สนามจันทร์ คอร์ส,woman
85,สมาร์ทเพลส,man/woman
86,สิริกัญญา,man/woman
87,สุขทวี อะพาร์ตเมนต์,woman
88,หอเบญจรงค์,man/woman
89,ห้องเช่า,man/woman
90,หอพักคำฟ้า ,woman
91,อนงค์,woman
92,อาคารบ้านหุ่นยนต์,man/woman
